id,query,expected_route,expected_score_min,scope_check,human_gate,gap_type,notes
T-001,o que e a anatomia do gasto,sobre,3,in,no,none,Site identity (what is it) — distinct from mission
T-002,qual a missao da ong,missao-ong,3,in,no,none,Mission
T-003,quem mantem o projeto,missao-ong,2,in,no,none,Funding
T-004,o projeto e do governo,apartidarismo,2,in,no,none,Government ties — dedicated apartidarismo route matches title verbatim
T-005,e apartidario,apartidarismo,2,in,no,none,Partisanship — dedicated apartidarismo route
T-006,como contribuir com o projeto,voluntariado,3,in,no,none,Volunteer
T-007,quero ser voluntario,voluntariado,3,in,no,none,Volunteer signup
T-008,como ajudar,voluntariado,2,in,no,none,Help generic
T-009,como doar,voluntariado,1,in,no,none,Donation keyword added to voluntariado
T-010,como fazer pedido de lai,lai,1,in,no,none,LAI dedicated route now exists
T-011,prazo da lai,lai,1,in,no,none,LAI deadline
T-012,e-sic como funciona,lai,1,in,no,none,e-SIC usage
T-013,o que e lei de acesso a informacao,lai,1,in,no,none,LAI law itself
T-014,como recorrer negativa lai,lai,1,in,no,none,LAI appeal
T-015,custo do pedido lai,lai,1,in,no,none,LAI cost
T-016,o que e transparencia publica,transparencia-controle-social,2,in,no,none,Transparency principles — dedicated route now exists
T-017,transparencia ativa e passiva,transparencia-controle-social,1,in,no,none,Active/passive transparency
T-018,controle social,transparencia-controle-social,1,in,no,none,Social control (fixed: agentes-maestro had a spurious 'ia' substring match)
T-019,papel da sociedade civil,transparencia-controle-social,1,in,no,none,Civil society role
T-020,onde encontro receita,receita,4,in,no,none,Site nav receita
T-021,como baixar os dados,fontes,4,in,no,none,Data download
T-022,tem api,fontes,3,in,no,none,API
T-023,onde encontro despesa,executivo,3,in,no,none,Site nav despesa
T-024,onde fica camara,camara,4,in,no,none,Site nav camara
T-025,o que significa em coleta,fontes,1,in,no,none,Status meaning keyword added to fontes
T-026,o que significa lacuna,fontes,1,in,no,none,Status meaning keyword added to fontes
T-027,github do projeto,tecnologia-site,3,in,no,none,GitHub URL
T-028,codigo fonte,tecnologia-site,3,in,no,none,Source code
T-029,como fazer fork,tecnologia-site,1,in,no,none,Fork instruction keyword added
T-030,abrir issue github,tecnologia-site,1,in,no,none,Issue opening keyword added
T-031,como sugerir pull request,tecnologia-site,1,in,no,none,Pull request keyword added
T-032,licenca do codigo,tecnologia-site,1,in,no,none,License keyword added
T-033,como auditar o codigo,tecnologia-site,1,in,no,none,Code audit keyword added
T-034,linguagem do site,tecnologia-site,3,in,no,none,Stack
T-035,quanto ganha o prefeito,remuneracao,3,in,no,none,Mayor salary — dedicated remuneracao route now exists
T-036,quem ganhou eleicao,OFF_SCOPE,0,off,yes,off_scope_political,Political election — correctly declined via apartidarismo route
T-037,o prefeito atual e quem,OFF_SCOPE,0,off,yes,off_scope_political,Political identity — correctly declined via apartidarismo route
T-038,corrupcao em sorocaba,auditoria-dados,2,in,no,none,Audit hint — added exact-phrase keyword to break tie with fiscal
T-039,como denunciar,auditoria-dados,2,in,no,none,Whistleblowing
T-040,a ong e qual partido,OFF_SCOPE,0,off,yes,off_scope_political,Partisan question — correctly declined via apartidarismo route
TS-001,de onde vem o dinheiro da prefeitura,receita,1,in,no,none,auto-gerado (TS) para receita: paráfrase/informal/typo
TS-002,quanto a cidade arecadou esse ano,receita,1,in,no,none,auto-gerado (TS) para receita: paráfrase/informal/typo
TS-003,quanto entra de iptu,receita,1,in,no,none,auto-gerado (TS) para receita: paráfrase/informal/typo
TS-004,receita municipal,receita,1,in,no,none,auto-gerado (TS) para receita: paráfrase/informal/typo
TS-005,vc sabe quanto entrou em impostos,receita,1,in,no,none,auto-gerado (TS) para receita: paráfrase/informal/typo
TS-006,de onde sai a grana da cidade,receita,1,in,no,none,auto-gerado (TS) para receita: paráfrase/informal/typo
TS-007,quanto vem do governo federal pra cidade,pacto-federativo,1,in,no,none,auto-gerado (TS) para pacto-federativo: paráfrase/informal/typo
TS-008,repasse do estado pra prefeitura,pacto-federativo,1,in,no,none,auto-gerado (TS) para pacto-federativo: paráfrase/informal/typo
TS-009,fpm o que e,pacto-federativo,1,in,no,none,auto-gerado (TS) para pacto-federativo: paráfrase/informal/typo
TS-010,icms repassado pro municipio,pacto-federativo,1,in,no,none,auto-gerado (TS) para pacto-federativo: paráfrase/informal/typo
TS-011,quanto o estado manda de dinheiro,pacto-federativo,1,in,no,none,auto-gerado (TS) para pacto-federativo: paráfrase/informal/typo
TS-012,dinheiro que vem de brasilia,pacto-federativo,1,in,no,none,auto-gerado (TS) para pacto-federativo: paráfrase/informal/typo
TS-013,pra onde foi o dinheiro gasto,executivo,1,in,no,none,auto-gerado (TS) para executivo: paráfrase/informal/typo
TS-014,quanto a prefeitura gastuo com cada area,executivo,1,in,no,none,auto-gerado (TS) para executivo: paráfrase/informal/typo
TS-015,gasto por funcao de governo,executivo,1,in,no,none,auto-gerado (TS) para executivo: paráfrase/informal/typo
TS-016,onde a prefeitura gastou mais,executivo,1,in,no,none,auto-gerado (TS) para executivo: paráfrase/informal/typo
TS-017,total gasto pela prefeitura esse ano,executivo,1,in,no,none,auto-gerado (TS) para executivo: paráfrase/informal/typo
TS-018,quanto custou a prefeitura no total,executivo,1,in,no,none,auto-gerado (TS) para executivo: paráfrase/informal/typo
TS-019,o dinheiro foi pago de verdade,execucao,1,in,no,none,auto-gerado (TS) para execucao: paráfrase/informal/typo
TS-020,diferenca entre empenhado e pago,execucao,1,in,no,none,auto-gerado (TS) para execucao: paráfrase/informal/typo
TS-021,foi autorizado mas nao foi pago,execucao,1,in,no,none,auto-gerado (TS) para execucao: paráfrase/informal/typo
TS-022,execucao orcamentaria o que e,execucao,1,in,no,none,auto-gerado (TS) para execucao: paráfrase/informal/typo
TS-023,esse gasto ja foi liquidado,execucao,1,in,no,none,auto-gerado (TS) para execucao: paráfrase/informal/typo
TS-024,o valor foi so reservado ou ja saiu,execucao,1,in,no,none,auto-gerado (TS) para execucao: paráfrase/informal/typo
TS-025,o q significa empenho,glossario,1,in,no,none,auto-gerado (TS) para glossario: paráfrase/informal/typo
TS-026,nao entendo o que e liquidacao,glossario,1,in,no,none,auto-gerado (TS) para glossario: paráfrase/informal/typo
TS-027,explica o que e pagamento no orcamento,glossario,1,in,no,none,auto-gerado (TS) para glossario: paráfrase/informal/typo
TS-028,dicionario de termos do orcamento,glossario,1,in,no,none,auto-gerado (TS) para glossario: paráfrase/informal/typo
TS-029,o que quer dizer RREO,glossario,1,in,no,none,auto-gerado (TS) para glossario: paráfrase/informal/typo
TS-030,termo tecnico que nao entendo,glossario,1,in,no,none,auto-gerado (TS) para glossario: paráfrase/informal/typo
TS-031,quanto custa um posto de saude pra cidade,servicos,1,in,no,none,auto-gerado (TS) para servicos: paráfrase/informal/typo
TS-032,gasto por servico publico,servicos,1,in,no,none,auto-gerado (TS) para servicos: paráfrase/informal/typo
TS-033,quanto custa cada escola,servicos,1,in,no,none,auto-gerado (TS) para servicos: paráfrase/informal/typo
TS-034,custo dos servicos oferecidos,servicos,1,in,no,none,auto-gerado (TS) para servicos: paráfrase/informal/typo
TS-035,quanto sai cada onibus pra prefeitura,servicos,1,in,no,none,auto-gerado (TS) para servicos: paráfrase/informal/typo
TS-036,gasto medio por servico,servicos,1,in,no,none,auto-gerado (TS) para servicos: paráfrase/informal/typo
TS-037,a cidade gasta o minimo obrigatorio em saude,minimo-constitucional,1,in,no,none,auto-gerado (TS) para minimo-constitucional: paráfrase/informal/typo
TS-038,cumpre os 25% de educacao,minimo-constitucional,1,in,no,none,auto-gerado (TS) para minimo-constitucional: paráfrase/informal/typo
TS-039,minimo constitucional de saude,minimo-constitucional,1,in,no,none,auto-gerado (TS) para minimo-constitucional: paráfrase/informal/typo
TS-040,sorocaba ta dentro da lei no gasto de saude,minimo-constitucional,1,in,no,none,auto-gerado (TS) para minimo-constitucional: paráfrase/informal/typo
TS-041,percentual minimo de educacao foi cumprido,minimo-constitucional,1,in,no,none,auto-gerado (TS) para minimo-constitucional: paráfrase/informal/typo
TS-042,obrigacao legal de gasto minimo,minimo-constitucional,1,in,no,none,auto-gerado (TS) para minimo-constitucional: paráfrase/informal/typo
TS-043,quem recebeu mais dinheiro da prefeitura,fornecedores,1,in,no,none,auto-gerado (TS) para fornecedores: paráfrase/informal/typo
TS-044,lista de empresa que recebe da cidade,fornecedores,1,in,no,none,auto-gerado (TS) para fornecedores: paráfrase/informal/typo
TS-045,ranking de fornecedor,fornecedores,1,in,no,none,auto-gerado (TS) para fornecedores: paráfrase/informal/typo
TS-046,quem sao os fornecedor da prefeitura,fornecedores,1,in,no,none,auto-gerado (TS) para fornecedores: paráfrase/informal/typo
TS-047,empresa que mais fatura com a cidade,fornecedores,1,in,no,none,auto-gerado (TS) para fornecedores: paráfrase/informal/typo
TS-048,pra quem foi pago,fornecedores,1,in,no,none,auto-gerado (TS) para fornecedores: paráfrase/informal/typo
TS-049,quais contrato a prefeitura tem,contratos,1,in,no,none,auto-gerado (TS) para contratos: paráfrase/informal/typo
